"district_number","margin","percent_"
257,69412,0.00334448160535117
256,66906,0.00668896321070234
253,66439,0.0100334448160535
216,65584,0.0133779264214047
137,62021,0.0167224080267559
222,60993,0.020066889632107
32,60548,0.0234113712374582
214,54629,0.0267558528428094
232,54495,0.0301003344481605
225,54397,0.0334448160535117
248,54220,0.0367892976588629
255,54084,0.040133779264214
213,54081,0.0434782608695652
221,53404,0.0468227424749164
240,52611,0.0501672240802676
212,51949,0.0535117056856187
228,49732,0.0568561872909699
31,48708,0.0602006688963211
241,47676,0.0635451505016722
250,47555,0.0668896321070234
284,47403,0.0702341137123746
215,47148,0.0735785953177258
233,45996,0.0769230769230769
247,45048,0.0802675585284281
276,44682,0.0836120401337793
223,44679,0.0869565217391304
224,44640,0.0903010033444816
226,44062,0.0936454849498328
287,43959,0.096989966555184
246,43954,0.100334448160535
127,43427,0.103678929765886
270,42588,0.107023411371237
251,42586,0.110367892976589
254,42208,0.11371237458194
126,42084,0.117056856187291
295,41978,0.120401337792642
15,41573,0.123745819397993
98,41195,0.127090301003344
285,40703,0.130434782608696
289,40097,0.133779264214047
280,40075,0.137123745819398
174,39796,0.140468227424749
231,39451,0.1438127090301
291,39393,0.147157190635452
111,39233,0.150501672240803
124,38995,0.153846153846154
273,38773,0.157190635451505
234,38631,0.160535117056856
25,38447,0.163879598662207
286,37477,0.167224080267559
266,37362,0.17056856187291
268,37311,0.173913043478261
260,37270,0.177257525083612
249,37258,0.180602006688963
229,37224,0.183946488294314
230,36825,0.187290969899666
292,35803,0.190635451505017
265,35459,0.193979933110368
272,34510,0.197324414715719
262,33911,0.20066889632107
243,33504,0.204013377926421
278,33482,0.207357859531773
84,32497,0.210702341137124
149,32459,0.214046822742475
131,32356,0.217391304347826
282,32162,0.220735785953177
147,32138,0.224080267558528
181,31963,0.22742474916388
237,31880,0.230769230769231
242,31802,0.234113712374582
293,31714,0.237458193979933
202,31702,0.240802675585284
227,31555,0.244147157190635
236,31200,0.247491638795987
264,31060,0.250836120401338
92,30901,0.254180602006689
24,30700,0.25752508361204
235,30671,0.260869565217391
97,29999,0.264214046822742
104,29943,0.267558528428094
130,29923,0.270903010033445
239,29541,0.274247491638796
279,28865,0.277591973244147
218,28634,0.280936454849498
269,28624,0.284280936454849
178,28128,0.287625418060201
261,27968,0.290969899665552
136,27699,0.294314381270903
2,27571,0.297658862876254
106,27370,0.301003344481605
17,27339,0.304347826086957
100,26850,0.307692307692308
294,26542,0.311036789297659
8,26390,0.31438127090301
99,26298,0.317725752508361
290,26249,0.321070234113712
110,26086,0.324414715719064
109,26000,0.327759197324415
38,25941,0.331103678929766
197,25937,0.334448160535117
189,25916,0.337792642140468
67,25494,0.341137123745819
208,25472,0.344481605351171
33,25363,0.347826086956522
200,25119,0.351170568561873
89,24820,0.354515050167224
30,24634,0.357859531772575
176,24378,0.361204013377926
211,24364,0.364548494983278
108,24344,0.367892976588629
68,24282,0.37123745819398
112,24178,0.374581939799331
206,24116,0.377926421404682
288,24006,0.381270903010033
10,23566,0.384615384615385
252,23484,0.387959866220736
146,23137,0.391304347826087
198,23062,0.394648829431438
283,23004,0.397993311036789
238,22915,0.40133779264214
86,22344,0.404682274247492
141,22311,0.408026755852843
267,22136,0.411371237458194
128,21881,0.414715719063545
4,21555,0.418060200668896
204,21415,0.421404682274247
190,21326,0.424749163879599
49,21277,0.42809364548495
36,21206,0.431438127090301
263,21162,0.434782608695652
277,20902,0.438127090301003
259,20697,0.441471571906354
3,20593,0.444816053511706
44,20466,0.448160535117057
1,20409,0.451505016722408
220,19731,0.454849498327759
79,19284,0.45819397993311
70,19261,0.461538461538462
62,19249,0.464882943143813
199,18817,0.468227424749164
185,18459,0.471571906354515
188,18373,0.474916387959866
196,17965,0.478260869565217
77,17772,0.481605351170569
7,17356,0.48494983277592
76,17189,0.488294314381271
29,16853,0.491638795986622
85,16302,0.494983277591973
219,16021,0.498327759197324
148,15924,0.501672240802676
298,15858,0.505016722408027
129,15828,0.508361204013378
94,15777,0.511705685618729
142,15762,0.51505016722408
12,15466,0.518394648829431
91,15415,0.521739130434783
6,15381,0.525083612040134
205,15351,0.528428093645485
123,15249,0.531772575250836
90,15168,0.535117056856187
143,15105,0.538461538461538
9,14764,0.54180602006689
169,14731,0.545150501672241
66,14671,0.548494983277592
193,14357,0.551839464882943
168,14334,0.555183946488294
117,13910,0.558528428093645
140,13882,0.561872909698997
71,13562,0.565217391304348
57,13298,0.568561872909699
138,13258,0.57190635451505
158,13200,0.575250836120401
73,13142,0.578595317725752
55,13100,0.581939799331104
172,13042,0.585284280936455
58,13032,0.588628762541806
39,12906,0.591973244147157
187,12893,0.595317725752508
43,12730,0.59866220735786
166,12676,0.602006688963211
81,12328,0.605351170568562
101,12101,0.608695652173913
103,12008,0.612040133779264
191,12004,0.615384615384615
16,11996,0.618729096989967
245,11890,0.622073578595318
274,11800,0.625418060200669
119,11689,0.62876254180602
18,11646,0.632107023411371
163,11624,0.635451505016722
40,11513,0.638795986622074
165,11466,0.642140468227425
115,11402,0.645484949832776
173,11394,0.648829431438127
105,11221,0.652173913043478
152,11217,0.655518394648829
34,11055,0.658862876254181
175,11017,0.662207357859532
183,10981,0.665551839464883
54,10744,0.668896321070234
217,10743,0.672240802675585
210,10691,0.675585284280936
27,10637,0.678929765886288
144,10567,0.682274247491639
170,10378,0.68561872909699
23,10172,0.688963210702341
177,10118,0.692307692307692
26,9967,0.695652173913043
59,9873,0.698996655518395
74,9861,0.702341137123746
113,9764,0.705685618729097
50,9760,0.709030100334448
120,9564,0.712374581939799
121,9465,0.71571906354515
297,9430,0.719063545150502
107,9223,0.722408026755853
69,9144,0.725752508361204
122,9037,0.729096989966555
13,8748,0.732441471571906
72,8637,0.735785953177257
154,8589,0.739130434782609
155,8561,0.74247491638796
60,8443,0.745819397993311
56,8420,0.749163879598662
116,8277,0.752508361204013
244,8272,0.755852842809365
22,8264,0.759197324414716
41,8062,0.762541806020067
46,7949,0.765886287625418
179,7913,0.769230769230769
271,7897,0.77257525083612
14,7721,0.775919732441472
201,7602,0.779264214046823
37,7571,0.782608695652174
52,7438,0.785953177257525
192,7423,0.789297658862876
195,7417,0.792642140468227
164,7251,0.795986622073579
63,7083,0.79933110367893
95,7042,0.802675585284281
42,7031,0.806020066889632
151,6963,0.809364548494983
114,6598,0.812709030100334
180,6471,0.816053511705686
35,6428,0.819397993311037
203,6328,0.822742474916388
160,5983,0.826086956521739
65,5803,0.82943143812709
135,5618,0.832775919732441
194,5422,0.836120401337793
139,5060,0.839464882943144
96,5047,0.842809364548495
118,5007,0.846153846153846
182,4959,0.849498327759197
125,4794,0.852842809364548
21,4746,0.8561872909699
132,4601,0.859531772575251
75,4544,0.862876254180602
20,4504,0.866220735785953
209,4460,0.869565217391304
19,4372,0.872909698996655
51,4230,0.876254180602007
156,4191,0.879598662207358
281,4141,0.882943143812709
64,4079,0.88628762541806
159,4008,0.889632107023411
80,3954,0.892976588628763
162,3695,0.896321070234114
258,3688,0.899665551839465
184,3621,0.903010033444816
171,3326,0.906354515050167
47,3289,0.909698996655518
82,3184,0.91304347826087
299,3080,0.916387959866221
45,2949,0.919732441471572
102,2843,0.923076923076923
134,2811,0.926421404682274
53,2782,0.929765886287625
61,2493,0.933110367892977
83,2455,0.936454849498328
167,2072,0.939799331103679
28,2064,0.94314381270903
145,2017,0.946488294314381
275,2017,0.949832775919732
48,1991,0.953177257525084
11,1854,0.956521739130435
186,1774,0.959866220735786
87,1702,0.963210702341137
133,1634,0.966555183946488
78,1593,0.969899665551839
157,1578,0.973244147157191
161,1403,0.976588628762542
150,1176,0.979933110367893
153,1170,0.983277591973244
296,1024,0.986622073578595
93,884,0.989966555183946
88,730,0.993311036789298
5,431,0.996655518394649
207,428,1
